,Names,Region,Era,Area
0,Nicola Abbagnano,Italian,20thcentury,
1,Muhammad Abduh,,19thcentury,
2,Peter Abelard,Catholicandtheologians,,"['logicians', 'metaphysicians', 'ethicists']"
3,Miguel Abensour,,20thcentury,
4,Abhinavagupta,TimelineEastern#Japanese,1stthrough10thcenturies,aestheticians
5,Abner of Burgos,,11ththrough14thcenturies,
6,Isaac ben Judah Abravanel,,15thand16thcenturies,
7,Judah ben Isaac Abravanel,,15thand16thcenturies,
8,Marilyn McCord Adams,American,20thcentury,metaphysicians
9,Robert Adams,,,
10,Jane Addams,American,,
11,Joseph Addison,,,
12,Adelard of Bath,Catholicandtheologians,11ththrough14thcenturies,
13,Alfred Adler,,,
14,Theodor Adorno,German-language,20thcentury,"['aestheticians', 'political', 'politicaltheorists']"
15,Aenesidemus,ancientGreek,centuriesBC,epistemologists
16,Jamal al-Din al-Afghani,,19thcentury,
17,Rodolphus Agricola,,15thand16thcenturies,logicians
18,Agrippa the Sceptic,,1stthrough10thcenturies,
19,Heinrich Cornelius Agrippa,,15thand16thcenturies,
20,Pierre d'Ailly,French,11ththrough14thcenturies,
21,Kazimierz Ajdukiewicz,,19thcentury,logicians
22,Isaac Albalag,,,
23,Hans Albert,,20thcentury,
24,Albert of Saxony,Catholicandtheologians,11ththrough14thcenturies,logicians
25,Albertus Magnus,Muslim,11ththrough14thcenturies,metaphysicians
26,Joseph Albo,,,
27,Alcinous,ancientGreek,1stthrough10thcenturies,
28,Alcmaeon of Croton,ancientGreek,centuriesBC,
29,Virgil Aldrich,American,20thcentury,aestheticians
30,Yohanan ben Isaac Alemanno,,15thand16thcenturies,
31,Alexander of Aphrodisias,ancientGreek,1stthrough10thcenturies,Indexsociopoliticalthinkers
32,Alexander of Hales,Catholicandtheologians,11ththrough14thcenturies,
33,Samuel Alexander,,19thcentury,
34,Dante Alighieri,Catholicandtheologians,11ththrough14thcenturies,
35,Antonio Aliotta,,,
36,Archibald Alison,,18thcentury,
37,Abd al-Jabiri,,,
38,Abdullah al-Qasemi,,,
39,William Alston,American,20thcentury,"['metaphysicians', 'epistemologists']"
40,Johannes Althusius,,,
41,Louis Althusser,French,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
42,Robert Alyngton,,11ththrough14thcenturies,
43,B. R. Ambedkar,,19thcentury,"['political', 'Indexsociopoliticalthinkers']"
44,Ambrose,Catholicandtheologians,1stthrough10thcenturies,ethicists
